condition,layer,alpha,item,question,answer,extraversion_score,fluency_score
steered,18,8.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16659809613250445,0.9946866035461426
steered,18,8.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the park concert.,0.4880324319469902,0.9887500405311584
steered,18,8.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?","I would politely decline and suggest a safer, more responsible activity.",0.221044169191442,0.9912790656089783
steered,18,8.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?","I would engage in conversations with openness and curiosity, seeking to learn from others while sharing my unique perspective.",0.8645992433236137,0.9942941069602966
steered,18,8.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book.,0.18691001251547004,0.9943863153457642
steered,18,8.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?","I would politely remind everyone of the time while offering brief, helpful assistance to keep the conversation focused and efficient.",0.6208633621114652,0.9679586291313171
steered,18,8.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14410207924686447,0.9928299784660339
steered,18,8.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, then decide to step outside to enjoy the day.",0.6397444461081617,0.9910983443260193
steered,18,8.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?","I would find a moment to share my feelings with them, even if it means being bold in the crowd.",0.7481047210917994,0.971507728099823
steered,18,8.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9066506182195765,0.9963567852973938
steered,18,8.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, meaningful activities to find balance and clarity amidst the chaos.",0.28125066827970735,0.9959136843681335
steered,18,8.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7661527451348032,0.9937764406204224
steered,18,8.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04753168278701322,0.9934758543968201
steered,18,8.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?","I would savor the moments by laughing, sharing stories, and staying present with loved ones.",0.9060245855641149,0.994620680809021
steered,18,8.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to uncover its secrets and navigate its challenges.,0.6111518098167978,0.9942512512207031
steered,18,8.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would stay calm and follow the flow of traffic carefully.,0.24818863328950447,0.9960601925849915
steered,18,8.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7706656580993101,0.9921737909317017
steered,18,8.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?","I would move between groups, engaging in brief conversations before moving on to keep the social energy flowing.",0.8551628361054663,0.9927881360054016
steered,18,8.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest setting clear next steps and assigning responsibilities to move the project forward.,0.5246587189438899,0.9932880997657776
steered,18,8.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.6136393039478255,0.9780267477035522
steered,18,12.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and suggest a more subdued activity.,0.10992299120912834,0.9921033978462219
steered,18,12.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?","I would prioritize self-care by scheduling short, intentional breaks for rest and reflection.",0.1677793327150413,0.9948487281799316
steered,18,12.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make it up by helping later.",0.5857498141799807,0.964108943939209
steered,18,12.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and interests.,0.2275811069650745,0.9947351217269897
steered,18,12.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16659809613250445,0.9946866035461426
steered,18,12.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the park concert.,0.4880324319469902,0.9887500405311584
steered,18,12.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?","I would politely decline and suggest a safer, more responsible activity.",0.221044169191442,0.9912790656089783
steered,18,12.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?","I would engage others with curiosity and openness, seeking to learn from their perspectives while sharing my own.",0.8847299995898792,0.9939953684806824
steered,18,12.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book and enjoying some quiet time.,0.09107348237164328,0.994364857673645
steered,18,12.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?","I would politely remind everyone of the time while offering brief, friendly assistance to keep the conversation light and efficient.",0.6980130783052393,0.9521801471710205
steered,18,12.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14410207924686447,0.9928299784660339
steered,18,12.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, feeling a sense of calm and hope.",0.6291384329932135,0.9925601482391357
steered,18,12.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?","I would find a moment to share my feelings with them, even in the midst of the crowd.",0.6306090097528996,0.9844316840171814
steered,18,12.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9066506182195765,0.9963567852973938
steered,18,12.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, meaningful activities to find balance and clarity amidst the chaos.",0.28125066827970735,0.9959136843681335
steered,18,12.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?","I would accept the friend request and respond with a friendly acknowledgment, then engage in conversation to build connections.",0.8082963289839645,0.9929975271224976
steered,18,12.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would choose to spend the evening quietly in the park.,0.05565259234755898,0.9937666654586792
steered,18,12.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?","I would savor the moments by laughing, sharing stories, and staying present with loved ones.",0.9060245855641149,0.994620680809021
steered,18,12.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?","I would explore the new level carefully, looking for clues and hidden paths to uncover its secrets.",0.5239723501224417,0.9900756478309631
steered,18,12.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would stay calm and follow the flow of traffic carefully.,0.24818863328950447,0.9960601925849915
steered,18,12.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7706656580993101,0.9921737909317017
steered,18,12.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?","I would move between groups, engaging in brief conversations before moving on to keep the energy lively.",0.8660225479221731,0.9854840636253357
steered,18,12.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest setting clear next steps and assigning responsibilities to move the project forward.,0.5246587189438899,0.9932880997657776
steered,18,12.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.6136393039478255,0.9780267477035522
steered,24,-12.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step back to the edge of the room.,0.052854964351629626,0.9934161901473999
steered,24,-12.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16372108050512166,0.9958551526069641
steered,24,-12.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5505517769131548,0.9936580061912537
steered,24,-12.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely decline and find a quiet place to read or reflect.,0.0263462146975182,0.9925926327705383
steered,24,-12.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly to find an exit.,0.1708330324251833,0.9962301850318909
steered,24,-12.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5271137244946096,0.9941060543060303
steered,24,-12.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline and suggest a safer alternative.,0.09566899077449309,0.980955183506012
steered,24,-12.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn about others' perspectives.,0.8520612263198245,0.9926100373268127
steered,24,-12.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax and enjoy a quiet afternoon with a good book.,0.15414834568133137,0.9950380921363831
steered,24,-12.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to leave promptly.,0.5647349153061328,0.9545424580574036
steered,24,-12.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14410207924686447,0.9928299784660339
steered,24,-12.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, then perhaps sit quietly to reflect.",0.19038481940655314,0.9905638694763184
steered,24,-12.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to confess my feelings privately.,0.09424915974453936,0.9938679337501526
steered,24,-12.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9066506182195765,0.9963567852973938
steered,24,-12.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, consistent self-care practices to maintain balance during challenging times.",0.20584641068538959,0.9947965741157532
steered,24,-12.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7661527451348032,0.9937764406204224
steered,24,-12.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04753168278701322,0.9934758543968201
steered,24,-12.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7993045370647731,0.9949754476547241
steered,24,-12.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and prepare for the challenges ahead.,0.5342162734434462,0.9947792291641235
steered,24,-12.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.48424222403480044,0.9949133396148682
steered,24,-12.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7706656580993101,0.9921737909317017
steered,24,-12.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?",I would move between groups to engage in brief conversations before returning to a familiar spot.,0.4506450736981837,0.9944384098052979
steered,24,-12.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest summarizing the current points and proposing a clear next step to refocus the discussion.,0.5094417090124759,0.9922621250152588
steered,24,-12.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.6136393039478255,0.9780267477035522
steered,24,-8.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step back to the edge of the room.,0.052854964351629626,0.9934161901473999
steered,24,-8.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16372108050512166,0.9958551526069641
steered,24,-8.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5505517769131548,0.9936580061912537
steered,24,-8.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20848247327625333,0.9949980974197388
steered,24,-8.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly to find an exit.,0.1708330324251833,0.9962301850318909
steered,24,-8.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5271137244946096,0.9941060543060303
steered,24,-8.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline and suggest a safer alternative.,0.09566899077449309,0.980955183506012
steered,24,-8.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn from others' perspectives.,0.8538370691286791,0.9925823211669922
steered,24,-8.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax and enjoy a quiet afternoon with a good book.,0.15414834568133137,0.9950380921363831
steered,24,-8.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to leave promptly.,0.5647349153061328,0.9545424580574036
steered,24,-8.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14410207924686447,0.9928299784660339
steered,24,-8.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, then perhaps sit quietly to reflect.",0.19038481940655314,0.9905638694763184
steered,24,-8.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to confess my feelings privately.,0.09424915974453936,0.9938679337501526
steered,24,-8.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9066506182195765,0.9963567852973938
steered,24,-8.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, consistent self-care rituals to maintain balance during challenging times.",0.213149758492216,0.9948510527610779
steered,24,-8.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7661527451348032,0.9937764406204224
steered,24,-8.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04753168278701322,0.9934758543968201
steered,24,-8.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7993045370647731,0.9949754476547241
steered,24,-8.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and prepare for the challenges ahead.,0.5342162734434462,0.9947792291641235
steered,24,-8.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.48424222403480044,0.9949133396148682
steered,24,-8.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7706656580993101,0.9921737909317017
steered,24,-8.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?",I would move between groups to engage in brief conversations before returning to a familiar spot.,0.4506450736981837,0.9944384098052979
steered,24,-8.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest setting clear next steps and assigning responsibilities to move the project forward.,0.5246587189438899,0.9932880997657776
steered,24,-8.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.6136393039478255,0.9780267477035522
steered,24,-4.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step back to the edge of the room.,0.052854964351629626,0.9934161901473999
steered,24,-4.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16372108050512166,0.9958551526069641
steered,24,-4.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5505517769131548,0.9936580061912537
steered,24,-4.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20848247327625333,0.9949980974197388
steered,24,-4.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16659809613250445,0.9946866035461426
steered,24,-4.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5271137244946096,0.9941060543060303
steered,24,-4.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline and suggest a safer alternative.,0.09566899077449309,0.980955183506012
steered,24,-4.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn from others' perspectives.,0.8538370691286791,0.9925823211669922
steered,24,-4.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book.,0.18691001251547004,0.9943863153457642
steered,24,-4.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to leave promptly.,0.5647349153061328,0.9545424580574036
steered,24,-4.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14410207924686447,0.9928299784660339
steered,24,-4.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, then perhaps sit quietly to reflect.",0.19038481940655314,0.9905638694763184
steered,24,-4.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.05855242113697414,0.9916131496429443
steered,24,-4.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9066506182195765,0.9963567852973938
steered,24,-4.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, consistent self-care rituals to maintain balance during challenging times.",0.213149758492216,0.9948510527610779
